Layer,Name,Area,Length,Contents,Count,Block Unit,Color,Linetype,Closed,Area_m2
0,Polyline,776254521.9641,108104.7818,,1,,ByLayer,ByLayer,False,776.2545
MB-ELEV 4,Line,,1.4405,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.5740,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.2108,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.8161,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.7929,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.9547,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.1021,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.9014,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.2975,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.5584,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.7936,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.9273,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.8175,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.3865,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.4993,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.5906,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,4.1504,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.2034,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.5967,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.3986,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.9151,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.0800,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.8997,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.3448,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.2160,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.1055,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.4333,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,3.8139,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.5811,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.3928,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.3311,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.3553,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.6138,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.0489,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.6765,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.4138,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.6889,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,6.8125,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.8409,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.6066,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.9925,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,3.4468,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.3609,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,4.1748,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.9624,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,4.0080,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.0265,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,3.0024,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.6071,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.4218,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.3898,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.9681,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,4.4407,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,3.3774,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.6569,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.6798,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.3279,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,8.0427,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.3651,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.6231,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.8524,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.0370,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.3623,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.2916,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.8937,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.1456,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.0040,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.1449,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.9966,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.2107,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.4196,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.2392,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,3.0105,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.1030,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.7337,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.1522,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.3940,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.2537,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.3328,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.7986,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.1311,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.4056,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,3.0496,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.6198,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.0771,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.4832,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.3774,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.5920,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.3052,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.6214,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.3202,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.0640,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.1899,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.4558,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.4762,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.5637,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.9738,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,17.9800,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,12.7133,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,3.4281,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,23.2077,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,6.4024,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,17.8295,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,12.3661,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.5513,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.4328,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,2.4673,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.9894,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,13.6233,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,4.0958,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.4185,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.4279,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.0403,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.6926,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.1421,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.6364,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.7775,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.3149,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.3597,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.3851,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.3693,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.4966,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.7615,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.8836,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.1324,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.7176,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.7129,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.2428,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.2887,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,1.7988,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.5364,,1,,ByLayer,ByLayer,,
MB-ELEV 4,Line,,0.0721,,1,,ByLayer,ByLayer,,
